Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,20136,4086,377,49061.449219,0.007684
2,1000,0.8,0.2,50.0,1000,20446,4179,366,49264.503906,0.007429
3,1000,0.8,0.2,50.0,1000,21024,4170,374,50306.843750,0.007434
4,1000,0.8,0.2,50.0,1000,20400,4172,443,50496.843750,0.008773
5,1000,0.8,0.2,50.0,1000,20716,4132,439,50364.679688,0.008716
6,1000,0.8,0.2,50.0,1000,19980,4039,406,49201.246094,0.008252
7,1000,0.8,0.2,50.0,1000,21303,4182,382,51829.105469,0.007370
8,1000,0.8,0.2,50.0,1000,20073,4066,405,49452.542969,0.008190
9,1000,0.8,0.2,50.0,1000,20664,4126,425,50983.128906,0.008336
10,1000,0.8,0.2,50.0,1000,20642,4113,460,50813.027344,0.009053
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,86345,8894,145,50028.566406,0.002898
2,1000,0.8,0.2,50.0,1000,86355,8881,147,49868.070312,0.002948
3,1000,0.8,0.2,50.0,1000,86825,8781,137,48883.382812,0.002803
4,1000,0.8,0.2,50.0,1000,84954,8744,164,48775.785156,0.003362
5,1000,0.8,0.2,50.0,1000,89214,9048,142,50609.285156,0.002806
6,1000,0.8,0.2,50.0,1000,86950,8988,160,50631.687500,0.003160
7,1000,0.8,0.2,50.0,1000,86008,8804,135,49166.730469,0.002746
8,1000,0.8,0.2,50.0,1000,85696,8910,151,49985.914062,0.003021
9,1000,0.8,0.2,50.0,1000,90154,9148,183,52102.296875,0.003512
10,1000,0.8,0.2,50.0,1000,83459,8748,141,49023.636719,0.002876
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,169101,8936,112,50219.652344,0.002230
2,1000,0.8,0.2,50.0,1000,168530,8848,108,49692.296875,0.002173
3,1000,0.8,0.2,50.0,1000,170988,9092,109,50669.410156,0.002151
4,1000,0.8,0.2,50.0,1000,160229,8654,109,48427.871094,0.002251
5,1000,0.8,0.2,50.0,1000,167070,8951,96,50036.824219,0.001919
6,1000,0.8,0.2,50.0,1000,164482,8874,119,50084.046875,0.002376
7,1000,0.8,0.2,50.0,1000,169242,8985,107,50247.656250,0.002129
8,1000,0.8,0.2,50.0,1000,168861,8939,111,50322.671875,0.002206
9,1000,0.8,0.2,50.0,1000,168612,9047,131,51528.085938,0.002542
10,1000,0.8,0.2,50.0,1000,165046,8780,116,49193.031250,0.002358
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,313639,8816,96,49384.156250,0.001944
2,1000,0.8,0.2,50.0,1000,317538,8941,83,50224.222656,0.001653
3,1000,0.8,0.2,50.0,1000,324080,9146,84,50969.425781,0.001648
4,1000,0.8,0.2,50.0,1000,312152,8811,95,49341.925781,0.001925
5,1000,0.8,0.2,50.0,1000,320396,8950,76,50112.156250,0.001517
6,1000,0.8,0.2,50.0,1000,312604,8917,84,50279.707031,0.001671
7,1000,0.8,0.2,50.0,1000,314259,8874,73,49636.617188,0.001471
8,1000,0.8,0.2,50.0,1000,301976,8729,93,49156.089844,0.001892
9,1000,0.8,0.2,50.0,1000,309442,8824,109,50234.960938,0.002170
10,1000,0.8,0.2,50.0,1000,317744,8890,103,49699.453125,0.002072
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,626659,8837,96,49503.828125,0.001939
2,1000,0.8,0.2,50.0,1000,648913,8914,86,50061.992188,0.001718
3,1000,0.8,0.2,50.0,1000,631137,8934,88,49801.593750,0.001767
4,1000,0.8,0.2,50.0,1000,619881,8752,94,49021.140625,0.001918
5,1000,0.8,0.2,50.0,1000,666750,8983,75,50298.046875,0.001491
6,1000,0.8,0.2,50.0,1000,635719,8982,85,50640.945312,0.001678
7,1000,0.8,0.2,50.0,1000,628547,8727,71,48805.675781,0.001455
8,1000,0.8,0.2,50.0,1000,641242,8891,93,50034.496094,0.001859
9,1000,0.8,0.2,50.0,1000,622727,8809,105,50156.312500,0.002093
10,1000,0.8,0.2,50.0,1000,639578,8965,100,50054.425781,0.001998
