Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6324,3146,998,51121.593750,0.019522
2,1000,0.5,0.2,50.0,1000,6479,3178,998,49490.933594,0.020165
3,1000,0.5,0.2,50.0,1000,6620,3325,999,50272.121094,0.019872
4,1000,0.5,0.2,50.0,1000,5940,2962,998,51589.117188,0.019345
5,1000,0.5,0.2,50.0,1000,6481,3265,999,48978.617188,0.020397
6,1000,0.5,0.2,50.0,1000,6247,3166,999,53402.273438,0.018707
7,1000,0.5,0.2,50.0,1000,6522,3239,999,50522.062500,0.019774
8,1000,0.5,0.2,50.0,1000,6171,3121,999,49883.441406,0.020027
9,1000,0.5,0.2,50.0,1000,6603,3337,998,49527.332031,0.020150
10,1000,0.5,0.2,50.0,1000,6450,3194,999,49346.066406,0.020245
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6352,3195,998,50756.464844,0.019663
2,1000,0.5,0.2,50.0,1000,6491,3237,999,49260.847656,0.020280
3,1000,0.5,0.2,50.0,1000,6504,3281,999,49907.542969,0.020017
4,1000,0.5,0.2,50.0,1000,5814,2918,999,50554.320312,0.019761
5,1000,0.5,0.2,50.0,1000,6400,3245,998,48677.117188,0.020502
6,1000,0.5,0.2,50.0,1000,6199,3156,999,52718.527344,0.018950
7,1000,0.5,0.2,50.0,1000,6509,3262,999,48652.011719,0.020534
8,1000,0.5,0.2,50.0,1000,6200,3104,999,51047.011719,0.019570
9,1000,0.5,0.2,50.0,1000,6553,3258,999,50793.847656,0.019668
10,1000,0.5,0.2,50.0,1000,6522,3287,997,50063.156250,0.019915
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6352,3195,998,50756.464844,0.019663
2,1000,0.5,0.2,50.0,1000,6491,3237,999,49260.847656,0.020280
3,1000,0.5,0.2,50.0,1000,6504,3281,999,49907.542969,0.020017
4,1000,0.5,0.2,50.0,1000,5814,2918,999,50554.320312,0.019761
5,1000,0.5,0.2,50.0,1000,6400,3245,998,48677.117188,0.020502
6,1000,0.5,0.2,50.0,1000,6199,3156,999,52718.527344,0.018950
7,1000,0.5,0.2,50.0,1000,6509,3262,999,48652.011719,0.020534
8,1000,0.5,0.2,50.0,1000,6200,3104,999,51047.011719,0.019570
9,1000,0.5,0.2,50.0,1000,6553,3258,999,50793.847656,0.019668
10,1000,0.5,0.2,50.0,1000,6522,3287,997,50063.156250,0.019915
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6352,3195,998,50756.464844,0.019663
2,1000,0.5,0.2,50.0,1000,6491,3237,999,49260.847656,0.020280
3,1000,0.5,0.2,50.0,1000,6504,3281,999,49907.542969,0.020017
4,1000,0.5,0.2,50.0,1000,5814,2918,999,50554.320312,0.019761
5,1000,0.5,0.2,50.0,1000,6400,3245,998,48677.117188,0.020502
6,1000,0.5,0.2,50.0,1000,6199,3156,999,52718.527344,0.018950
7,1000,0.5,0.2,50.0,1000,6509,3262,999,48652.011719,0.020534
8,1000,0.5,0.2,50.0,1000,6200,3104,999,51047.011719,0.019570
9,1000,0.5,0.2,50.0,1000,6553,3258,999,50793.847656,0.019668
10,1000,0.5,0.2,50.0,1000,6522,3287,997,50063.156250,0.019915
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6352,3195,998,50756.464844,0.019663
2,1000,0.5,0.2,50.0,1000,6491,3237,999,49260.847656,0.020280
3,1000,0.5,0.2,50.0,1000,6504,3281,999,49907.542969,0.020017
4,1000,0.5,0.2,50.0,1000,5814,2918,999,50554.320312,0.019761
5,1000,0.5,0.2,50.0,1000,6400,3245,998,48677.117188,0.020502
6,1000,0.5,0.2,50.0,1000,6199,3156,999,52718.527344,0.018950
7,1000,0.5,0.2,50.0,1000,6509,3262,999,48652.011719,0.020534
8,1000,0.5,0.2,50.0,1000,6200,3104,999,51047.011719,0.019570
9,1000,0.5,0.2,50.0,1000,6553,3258,999,50793.847656,0.019668
10,1000,0.5,0.2,50.0,1000,6522,3287,997,50063.156250,0.019915
