Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2692,1312,407,50391.015625,0.008077
2,1000,0.5,0.2,50.0,1000,2676,1324,433,49599.484375,0.008730
3,1000,0.5,0.2,50.0,1000,2687,1290,390,50261.589844,0.007759
4,1000,0.5,0.2,50.0,1000,2746,1397,478,50609.621094,0.009445
5,1000,0.5,0.2,50.0,1000,2673,1361,445,49548.554688,0.008981
6,1000,0.5,0.2,50.0,1000,2658,1324,427,49580.449219,0.008612
7,1000,0.5,0.2,50.0,1000,2657,1310,400,49759.628906,0.008039
8,1000,0.5,0.2,50.0,1000,2707,1375,453,50112.542969,0.009040
9,1000,0.5,0.2,50.0,1000,2671,1304,403,49749.183594,0.008101
10,1000,0.5,0.2,50.0,1000,2713,1335,420,50605.179688,0.008300
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2692,1312,407,50391.015625,0.008077
2,1000,0.5,0.2,50.0,1000,2676,1324,433,49599.484375,0.008730
3,1000,0.5,0.2,50.0,1000,2687,1290,390,50261.589844,0.007759
4,1000,0.5,0.2,50.0,1000,2746,1397,478,50609.621094,0.009445
5,1000,0.5,0.2,50.0,1000,2673,1361,445,49548.554688,0.008981
6,1000,0.5,0.2,50.0,1000,2658,1324,427,49580.449219,0.008612
7,1000,0.5,0.2,50.0,1000,2657,1310,400,49759.628906,0.008039
8,1000,0.5,0.2,50.0,1000,2707,1375,453,50112.542969,0.009040
9,1000,0.5,0.2,50.0,1000,2671,1304,403,49749.183594,0.008101
10,1000,0.5,0.2,50.0,1000,2713,1335,420,50605.179688,0.008300
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2692,1312,407,50391.015625,0.008077
2,1000,0.5,0.2,50.0,1000,2676,1324,433,49599.484375,0.008730
3,1000,0.5,0.2,50.0,1000,2687,1290,390,50261.589844,0.007759
4,1000,0.5,0.2,50.0,1000,2746,1397,478,50609.621094,0.009445
5,1000,0.5,0.2,50.0,1000,2673,1361,445,49548.554688,0.008981
6,1000,0.5,0.2,50.0,1000,2658,1324,427,49580.449219,0.008612
7,1000,0.5,0.2,50.0,1000,2657,1310,400,49759.628906,0.008039
8,1000,0.5,0.2,50.0,1000,2707,1375,453,50112.542969,0.009040
9,1000,0.5,0.2,50.0,1000,2671,1304,403,49749.183594,0.008101
10,1000,0.5,0.2,50.0,1000,2713,1335,420,50605.179688,0.008300
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2692,1312,407,50391.015625,0.008077
2,1000,0.5,0.2,50.0,1000,2676,1324,433,49599.484375,0.008730
3,1000,0.5,0.2,50.0,1000,2687,1290,390,50261.589844,0.007759
4,1000,0.5,0.2,50.0,1000,2746,1397,478,50609.621094,0.009445
5,1000,0.5,0.2,50.0,1000,2673,1361,445,49548.554688,0.008981
6,1000,0.5,0.2,50.0,1000,2658,1324,427,49580.449219,0.008612
7,1000,0.5,0.2,50.0,1000,2657,1310,400,49759.628906,0.008039
8,1000,0.5,0.2,50.0,1000,2707,1375,453,50112.542969,0.009040
9,1000,0.5,0.2,50.0,1000,2671,1304,403,49749.183594,0.008101
10,1000,0.5,0.2,50.0,1000,2713,1335,420,50605.179688,0.008300
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2692,1312,407,50391.015625,0.008077
2,1000,0.5,0.2,50.0,1000,2676,1324,433,49599.484375,0.008730
3,1000,0.5,0.2,50.0,1000,2687,1290,390,50261.589844,0.007759
4,1000,0.5,0.2,50.0,1000,2746,1397,478,50609.621094,0.009445
5,1000,0.5,0.2,50.0,1000,2673,1361,445,49548.554688,0.008981
6,1000,0.5,0.2,50.0,1000,2658,1324,427,49580.449219,0.008612
7,1000,0.5,0.2,50.0,1000,2657,1310,400,49759.628906,0.008039
8,1000,0.5,0.2,50.0,1000,2707,1375,453,50112.542969,0.009040
9,1000,0.5,0.2,50.0,1000,2671,1304,403,49749.183594,0.008101
10,1000,0.5,0.2,50.0,1000,2713,1335,420,50605.179688,0.008300
