Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,8711,4368,899,49709.339844,0.018085
2,1000,0.5,0.2,50.0,1000,8904,4444,879,49451.933594,0.017775
3,1000,0.5,0.2,50.0,1000,8471,4154,898,50142.203125,0.017909
4,1000,0.5,0.2,50.0,1000,7918,4019,912,50070.988281,0.018214
5,1000,0.5,0.2,50.0,1000,8805,4337,897,49509.472656,0.018118
6,1000,0.5,0.2,50.0,1000,7482,3803,943,51143.410156,0.018438
7,1000,0.5,0.2,50.0,1000,8052,4077,927,51298.015625,0.018071
8,1000,0.5,0.2,50.0,1000,7672,3881,938,50564.468750,0.018551
9,1000,0.5,0.2,50.0,1000,8230,4084,879,48139.488281,0.018259
10,1000,0.5,0.2,50.0,1000,9689,4808,828,49864.351562,0.016605
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,35063,7649,352,49252.785156,0.007147
2,1000,0.5,0.2,50.0,1000,31429,7503,496,51768.652344,0.009581
3,1000,0.5,0.2,50.0,1000,43654,8843,205,51063.285156,0.004015
4,1000,0.5,0.2,50.0,1000,41153,8573,197,48568.007812,0.004056
5,1000,0.5,0.2,50.0,1000,39221,8537,220,48957.332031,0.004494
6,1000,0.5,0.2,50.0,1000,40812,8635,224,50117.996094,0.004469
7,1000,0.5,0.2,50.0,1000,38854,8215,278,50107.093750,0.005548
8,1000,0.5,0.2,50.0,1000,41050,8616,203,49247.890625,0.004122
9,1000,0.5,0.2,50.0,1000,40951,8832,184,49843.875000,0.003692
10,1000,0.5,0.2,50.0,1000,44124,8824,170,49656.089844,0.003424
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,71165,8144,350,51851.402344,0.006750
2,1000,0.5,0.2,50.0,1000,57740,7417,470,51505.398438,0.009125
3,1000,0.5,0.2,50.0,1000,81124,8599,215,49541.960938,0.004340
4,1000,0.5,0.2,50.0,1000,82431,9069,217,51349.988281,0.004226
5,1000,0.5,0.2,50.0,1000,80823,8777,215,50325.898438,0.004272
6,1000,0.5,0.2,50.0,1000,78647,8715,226,50452.304688,0.004479
7,1000,0.5,0.2,50.0,1000,68466,8099,259,49175.269531,0.005267
8,1000,0.5,0.2,50.0,1000,78810,8441,150,48236.046875,0.003110
9,1000,0.5,0.2,50.0,1000,81786,8860,199,50053.367188,0.003976
10,1000,0.5,0.2,50.0,1000,80141,8612,149,48513.820312,0.003071
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,116435,7674,306,49171.019531,0.006223
2,1000,0.5,0.2,50.0,1000,95210,7268,479,50684.218750,0.009451
3,1000,0.5,0.2,50.0,1000,146208,8871,196,51009.609375,0.003842
4,1000,0.5,0.2,50.0,1000,148066,9033,173,51095.703125,0.003386
5,1000,0.5,0.2,50.0,1000,158174,8915,199,50950.679688,0.003906
6,1000,0.5,0.2,50.0,1000,147017,8541,198,49722.156250,0.003982
7,1000,0.5,0.2,50.0,1000,132542,8078,259,49266.484375,0.005257
8,1000,0.5,0.2,50.0,1000,143982,8667,150,49578.804688,0.003025
9,1000,0.5,0.2,50.0,1000,153171,8651,173,48888.062500,0.003539
10,1000,0.5,0.2,50.0,1000,149555,8844,128,49755.824219,0.002573
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,222581,7840,306,50096.500000,0.006108
2,1000,0.5,0.2,50.0,1000,147408,7340,479,51047.515625,0.009383
3,1000,0.5,0.2,50.0,1000,264068,8452,190,48661.375000,0.003905
4,1000,0.5,0.2,50.0,1000,290078,9090,173,51410.371094,0.003365
5,1000,0.5,0.2,50.0,1000,268229,8665,199,49528.914062,0.004018
6,1000,0.5,0.2,50.0,1000,287171,8526,198,49650.230469,0.003988
7,1000,0.5,0.2,50.0,1000,246357,8110,259,49441.031250,0.005239
8,1000,0.5,0.2,50.0,1000,286192,8737,150,49966.171875,0.003002
9,1000,0.5,0.2,50.0,1000,279724,8571,168,48464.398438,0.003466
10,1000,0.5,0.2,50.0,1000,313588,8729,128,49147.472656,0.002604
