Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1947,1745,999,49740.886719,0.020084
2,1000,0.1,0.2,50.0,1000,1904,1709,999,48958.980469,0.020405
3,1000,0.1,0.2,50.0,1000,2033,1788,999,49391.218750,0.020226
4,1000,0.1,0.2,50.0,1000,1896,1696,997,50569.769531,0.019715
5,1000,0.1,0.2,50.0,1000,1879,1675,999,51042.035156,0.019572
6,1000,0.1,0.2,50.0,1000,1923,1740,998,49585.660156,0.020127
7,1000,0.1,0.2,50.0,1000,1911,1721,999,50423.917969,0.019812
8,1000,0.1,0.2,50.0,1000,1934,1746,999,50172.437500,0.019911
9,1000,0.1,0.2,50.0,1000,2002,1801,999,48518.109375,0.020590
10,1000,0.1,0.2,50.0,1000,1897,1736,999,48714.191406,0.020507
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2467,1958,999,51257.878906,0.019490
2,1000,0.2,0.2,50.0,1000,2431,1941,999,49630.285156,0.020129
3,1000,0.2,0.2,50.0,1000,2558,2004,999,50756.632812,0.019682
4,1000,0.2,0.2,50.0,1000,2405,1908,999,49470.941406,0.020194
5,1000,0.2,0.2,50.0,1000,2408,1939,999,49410.000000,0.020219
6,1000,0.2,0.2,50.0,1000,2492,2000,999,50224.593750,0.019891
7,1000,0.2,0.2,50.0,1000,2537,1994,995,50274.972656,0.019791
8,1000,0.2,0.2,50.0,1000,2368,1907,998,50824.402344,0.019636
9,1000,0.2,0.2,50.0,1000,2543,2016,999,49330.839844,0.020251
10,1000,0.2,0.2,50.0,1000,2414,1931,999,48348.257812,0.020663
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4463,2641,998,49153.917969,0.020304
2,1000,0.4,0.2,50.0,1000,4723,2824,998,49989.000000,0.019964
3,1000,0.4,0.2,50.0,1000,4462,2663,999,49792.460938,0.020063
4,1000,0.4,0.2,50.0,1000,4233,2615,999,51038.519531,0.019573
5,1000,0.4,0.2,50.0,1000,4271,2574,994,48906.921875,0.020324
6,1000,0.4,0.2,50.0,1000,4217,2546,999,50285.101562,0.019867
7,1000,0.4,0.2,50.0,1000,4500,2628,995,51496.578125,0.019322
8,1000,0.4,0.2,50.0,1000,4315,2616,997,51292.226562,0.019438
9,1000,0.4,0.2,50.0,1000,4498,2666,998,47875.597656,0.020846
10,1000,0.4,0.2,50.0,1000,4393,2663,999,48404.253906,0.020639
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9428,3781,999,51375.832031,0.019445
2,1000,0.6,0.2,50.0,1000,10028,3952,999,49082.671875,0.020353
3,1000,0.6,0.2,50.0,1000,10084,3986,994,52439.808594,0.018955
4,1000,0.6,0.2,50.0,1000,9752,4017,999,48312.601562,0.020678
5,1000,0.6,0.2,50.0,1000,10099,4044,997,50137.140625,0.019885
6,1000,0.6,0.2,50.0,1000,9524,3860,997,48952.789062,0.020367
7,1000,0.6,0.2,50.0,1000,9776,3918,999,49325.902344,0.020253
8,1000,0.6,0.2,50.0,1000,9845,3961,996,48960.671875,0.020343
9,1000,0.6,0.2,50.0,1000,9869,3916,997,49586.000000,0.020106
10,1000,0.6,0.2,50.0,1000,9634,3860,997,48834.144531,0.020416
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,86124,8941,298,50457.089844,0.005906
2,1000,0.8,0.2,50.0,1000,68205,8305,413,50900.308594,0.008114
3,1000,0.8,0.2,50.0,1000,75491,8456,344,49591.277344,0.006937
4,1000,0.8,0.2,50.0,1000,84978,8918,347,50114.261719,0.006924
5,1000,0.8,0.2,50.0,1000,72260,8390,429,50811.609375,0.008443
6,1000,0.8,0.2,50.0,1000,80329,8577,373,50075.433594,0.007449
7,1000,0.8,0.2,50.0,1000,58640,8415,468,49113.691406,0.009529
8,1000,0.8,0.2,50.0,1000,58005,8061,514,48542.765625,0.010589
9,1000,0.8,0.2,50.0,1000,78472,8394,322,49360.855469,0.006523
10,1000,0.8,0.2,50.0,1000,78931,8705,402,50328.679688,0.007987
