Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2002,1814,999,49031.851562,0.020375
2,1000,0.1,0.2,50.0,1000,2122,1913,999,49284.097656,0.020270
3,1000,0.1,0.2,50.0,1000,1931,1708,999,49695.117188,0.020103
4,1000,0.1,0.2,50.0,1000,1975,1774,999,49496.128906,0.020183
5,1000,0.1,0.2,50.0,1000,1983,1801,998,49221.714844,0.020276
6,1000,0.1,0.2,50.0,1000,2169,1971,995,49469.171875,0.020114
7,1000,0.1,0.2,50.0,1000,2091,1865,999,48567.855469,0.020569
8,1000,0.1,0.2,50.0,1000,1900,1716,999,51299.992188,0.019474
9,1000,0.1,0.2,50.0,1000,2108,1888,998,49472.351562,0.020173
10,1000,0.1,0.2,50.0,1000,2031,1822,999,50855.011719,0.019644
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2571,2067,999,50129.515625,0.019928
2,1000,0.2,0.2,50.0,1000,2706,2153,990,49325.335938,0.020071
3,1000,0.2,0.2,50.0,1000,2694,2149,992,49711.207031,0.019955
4,1000,0.2,0.2,50.0,1000,2607,2068,997,50310.601562,0.019817
5,1000,0.2,0.2,50.0,1000,2550,2068,999,50872.703125,0.019637
6,1000,0.2,0.2,50.0,1000,2520,2008,999,50320.328125,0.019853
7,1000,0.2,0.2,50.0,1000,2629,2088,999,49086.339844,0.020352
8,1000,0.2,0.2,50.0,1000,2474,1998,999,50179.558594,0.019909
9,1000,0.2,0.2,50.0,1000,2768,2184,988,50152.339844,0.019700
10,1000,0.2,0.2,50.0,1000,2396,1941,999,49626.390625,0.020130
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,5161,3111,968,48969.046875,0.019768
2,1000,0.4,0.2,50.0,1000,5375,3229,959,49954.253906,0.019198
3,1000,0.4,0.2,50.0,1000,4744,2864,980,49375.007812,0.019848
4,1000,0.4,0.2,50.0,1000,5680,3390,958,50881.316406,0.018828
5,1000,0.4,0.2,50.0,1000,4587,2777,992,49807.687500,0.019917
6,1000,0.4,0.2,50.0,1000,4975,3021,955,51333.300781,0.018604
7,1000,0.4,0.2,50.0,1000,4687,2812,990,50772.433594,0.019499
8,1000,0.4,0.2,50.0,1000,4806,2866,971,50261.683594,0.019319
9,1000,0.4,0.2,50.0,1000,5221,3132,969,48714.476562,0.019891
10,1000,0.4,0.2,50.0,1000,5382,3229,935,50359.238281,0.018567
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,12796,5099,773,50303.871094,0.015367
2,1000,0.6,0.2,50.0,1000,12604,4956,762,49597.082031,0.015364
3,1000,0.6,0.2,50.0,1000,11916,4779,794,49746.128906,0.015961
4,1000,0.6,0.2,50.0,1000,12304,4908,811,49972.687500,0.016229
5,1000,0.6,0.2,50.0,1000,12855,5139,747,49505.121094,0.015089
6,1000,0.6,0.2,50.0,1000,11789,4709,822,50131.398438,0.016397
7,1000,0.6,0.2,50.0,1000,12858,5103,739,49099.792969,0.015051
8,1000,0.6,0.2,50.0,1000,11969,4748,743,48847.582031,0.015211
9,1000,0.6,0.2,50.0,1000,12832,5050,765,50680.695312,0.015095
10,1000,0.6,0.2,50.0,1000,13270,5382,704,49224.144531,0.014302
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,20136,4086,377,49061.449219,0.007684
2,1000,0.8,0.2,50.0,1000,20446,4179,366,49264.503906,0.007429
3,1000,0.8,0.2,50.0,1000,21024,4170,374,50306.843750,0.007434
4,1000,0.8,0.2,50.0,1000,20400,4172,443,50496.843750,0.008773
5,1000,0.8,0.2,50.0,1000,20716,4132,439,50364.679688,0.008716
6,1000,0.8,0.2,50.0,1000,19980,4039,406,49201.246094,0.008252
7,1000,0.8,0.2,50.0,1000,21303,4182,382,51829.105469,0.007370
8,1000,0.8,0.2,50.0,1000,20073,4066,405,49452.542969,0.008190
9,1000,0.8,0.2,50.0,1000,20664,4126,425,50983.128906,0.008336
10,1000,0.8,0.2,50.0,1000,20642,4113,460,50813.027344,0.009053
